,User,Date Created,Number of Likes,Source of Tweet,Tweet,ReTweet Count,Reply Count,View Count
0,C4vvL,2023-03-01 23:58:24+00:00,0,Twitter for iPhone,"Amazonセール始まるよー！
Appl iPad安くなるって！！👇

＃Amazonタイムセール祭り #ad",0,0,198.0
1,A7rrrWhqgwxyfcZ,2023-03-01 23:56:05+00:00,1,Twitter for iPhone,@appl_morning1 おはよう😃,0,1,11.0
2,appl_morning1,2023-03-01 23:46:00+00:00,16,Twitter Web App,"#おはようトレイン
おはよう🙂残り２日頑張る https://t.co/y6qHOQlMeO",0,3,216.0
3,TanyaShannon15,2023-03-01 23:30:10+00:00,0,Buffer,"🔥 SOLD @ 20 Binks Dr, Clarksville, TN 
3 beds, 1.5 baths | 1650 sq ft | All brick home with 
dark hardwood floors in living room, dining, hall &amp; all 
bedrooms. SS appl, new bathroom vanities, 2 car attached 
carport &amp; fenced back yard. Call to 👀 for yours today! https://t.co/bA3tFat6gJ",0,0,15.0
4,hahambalaila,2023-03-01 23:23:30+00:00,0,Twitter for Android,Finally got my US passport renewed. Promised time is 8-11 weeks for $130 or 5-7 week for additional $80 fee (expedited). After 10 week of the application doing nothing I paid additional $80. Appl status changed in a few minutes and new passport arrived 2 days later. Money grab?,0,2,329.0
5,AndreaNaeko,2023-03-01 23:22:18+00:00,0,Twitter Web App,@kingbdogz golden appl :3,0,0,13.0
6,teknashopUK,2023-03-01 23:08:37+00:00,0,Conte.ai,"Replacement Bag for Vacuum Cleaner Tecnhogar 915730 (5 uds) - €5.95.
 If you are looking for household appliances at the best prices, don't miss the Replacement Bag for Vacuum Cleaner Tecnhogar 915730 (5 uds) and a wide selection of small household appl https://t.co/PDG2dt8naq https://t.co/7XCvKpbi3E",0,0,2.0
7,feisty_Appl,2023-03-01 22:57:43+00:00,1,Twitter for iPhone,@Thendo_Hndrix Ba tlwaela Cass 🤞🏾,1,0,22.0
8,StonkSleeper,2023-03-01 22:41:09+00:00,0,Twitter for iPhone,@MrMOB2 Sure it can. But mms been doing this since tsla and appl dump… then they propped with nvda meta nflx… taking turns,0,2,81.0
9,frknkaras,2023-03-01 22:35:47+00:00,0,Twitter for iPhone,"BingX borsası üzerinden dilerseniz Amerikan hisse senetleri üzerinde de kaldıraçlı işlemler yapabilirsiniz. Örnek listeyi aşağıya bırakıyorum. 

Kayıt olmak isterseniz:
https://t.co/zXBR1mIIzo

#BingX #Apple #APPL #TSLA #AMZN #Ford #F #Fastly #FSLY #Google #Intel #INTC #MSFT https://t.co/ijTzfq6c2E",0,1,338.0
10,crownpoint_clt,2023-03-01 22:25:13+00:00,0,Twitter Web App,"$250 Rent Credit + Waived Admin Fee *Restrictions appl
*$250 Rent Credit will be divided into 2 months (April &amp; May); if rent payment is made after the 5th of the month, the $125 discount for that month will be forfeited. https://t.co/DXMsK6gSJS",0,0,16.0
11,where_we_going_,2023-03-01 22:23:55+00:00,0,Twitter for iPhone,Not Goldman having technical issues with Appl* C*rds on the last day you had to pay balances.,0,0,53.0
12,danwsl99,2023-03-01 22:16:52+00:00,1,Twitter for iPhone,@MomAngtrades Like with APPL common pattern to see relief selloff after these sorta events.,0,0,79.0
13,tiagomiranda79,2023-03-01 22:10:58+00:00,1,Twitter Web App,"@onegaimymelo Parece francês. 
Jem appl occus parece je m'appelle occus que é eu me chamo Occus",0,0,27.0
14,Squish_26,2023-03-01 22:08:54+00:00,0,Twitter Web App,@gomigg_ goo appl,0,0,26.0
15,QuarrelJames,2023-03-01 22:03:03+00:00,0,Twitter for Android,@eliant_capital Got more stoopfuks like me buying Appl and Nvda now. Takes us longer to sell? 🤷‍♂️ Perfect marks.,0,2,395.0
16,highmix,2023-03-01 22:00:45+00:00,6,TweetDeck,"株式投資ブログ「かぶしきめいかいは」更新！

【保有米国株成績 3/1の成績】

続落

https://t.co/opO5PstDeS

#ブログ更新 #株式投資 #米国株 #nasdaq $ADBE $ETSY $VZ $AMD $U $TSLA $VIG $VTI $FCX $AI $COST $NVDA $TDOC $DOCU $SPYD $PYPL $TSM $APPL $PG $KMI",1,0,889.0
17,appl_juice70,2023-03-01 21:51:56+00:00,0,Twitter for iPhone,@neilglobal77 https://t.co/L2R3tmeToz,0,0,71.0
18,souvikdas17,2023-03-01 21:45:52+00:00,0,Twitter for Android,@LeakerApple pretty sure you get your dividend income from $APPL,0,0,111.0
19,appl_juice70,2023-03-01 21:44:22+00:00,1,Twitter for iPhone,@sundaychirps live stream for patty kanes debut tmr?????????👀👀,0,0,236.0
20,appl_juice42,2023-03-01 21:37:33+00:00,8,Twitter for iPhone,심님 만화보고 대갈빡 좀 치고 옴… https://t.co/L7xQQvDFsZ,1,0,1054.0
21,appl_juice42,2023-03-01 21:37:01+00:00,2,Twitter for iPhone,https://t.co/HFXtjsx6bf,0,0,405.0
22,seyedoption,2023-03-01 21:34:21+00:00,1,Twitter for iPhone,"Stock Market Alerts based of technicals on HOT moving names.

Join @seyedoption service 

https://t.co/rJ66TK8VCK

$spx $spy $tsla $appl $googl $amzn #stockmarket $qqq #option #optiontrading $nvda $stock $nflx $meta $baba $bidu $msft $sq #option $amd $ba $qcom $pypl $vix",0,0,1218.0
23,SolemnEye19,2023-03-01 21:12:41+00:00,0,Twitter for iPhone,@appl_juice42 Cute,0,0,22.0
24,CarlosR47062133,2023-03-01 21:06:00+00:00,0,Twitter for Android,@StephanyPrez11 Quién es Appl?,0,1,5.0
25,Vinesh00518,2023-03-01 20:47:55+00:00,0,Twitter Web App,"Options and Stock Discord! JOIN NOW!

https://t.co/DmyHFfdkP4

$APPL $ZM $FB $SPY $AMD $QCOM $MSFT $TWTR $SPAQ $NIO $NKLA $ATT $BA $DJI $INTC $ATVI $PFE $MRNA $GILD $PYPL https://t.co/YKQbYlJbUM",0,0,372.0
26,StephanyPrez11,2023-03-01 20:30:23+00:00,0,Twitter for Android,@CarlosR47062133 @DAZN_ES De Appl,0,1,18.0
27,adukiarohit,2023-03-01 20:24:40+00:00,1,Twitter for Android,"Would appreciate any feedback/constructive criticism

#Inflation #CPI #Stocks $APPL $TSLA $MSFT",0,0,207.0
28,RobertNasir,2023-03-01 20:16:13+00:00,2,Twitter Web App,"@AmyPeikoff It just makes no sense, to assume I want something other than what I typed ...

... when the word I typed is both spelled correctly, and is a common word!

Srsly, WTF, APPL?",0,1,72.0
29,ellowyn_boozer,2023-03-01 20:15:47+00:00,0,Twitter for Android,"Covalent, a web3 data supplier, has formed a collaboration with flare. The collaboration was accomplished to enhance its blockchain analytics solutions. Covalent connects to over 40,000 developers and optimizes data for more than 5,000 appl",0,0,6.0
30,ROBONO9,2023-03-01 20:13:39+00:00,1,Twitter for iPhone,@runews Like $appl or $tsla?,0,0,360.0
31,jkg8trades,2023-03-01 20:13:14+00:00,0,Twitter for iPhone,"$9,000 to $90,000 Challenge 💰
+$500 ✅🟢
Traded SPY calls and puts. APPL puts small too. Mainly spy calls. $500 is daily goal, funny that it finished right on that number. 3 Green Day’s in a row. Never had 4 before. Good luck out there $SPY https://t.co/oorKocWJwk",0,0,131.0
32,plaste,2023-03-01 20:12:59+00:00,0,Twitter Web App,@fundhunter_co Mmmmmm. Berkshire started buying $APPL at around $24.,0,0,24.0
33,Rami4323046,2023-03-01 20:11:31+00:00,0,Twitter for iPhone,@hadilmallah2 حالف يمين انو يطلع عشرة ينزل عشرة لعمى لو ولد عم يلعب ب appl dollar ما بصير  هيك 😂😂,0,0,27.0
34,yamada_appl,2023-03-01 20:09:58+00:00,2,Twitter for iPhone,やべスクショ抜けてたわおはよう☀️,0,0,43.0
35,APPL_Houser_Jr,2023-03-01 20:08:25+00:00,0,Twitter for iPhone,Just got a blocked call from Pyramid consulting. I bet that’s not a scam!,0,0,7.0
36,DontAskJeeves13,2023-03-01 20:01:20+00:00,0,Twitter Web App,People misinterpret massive put buying for mega cap companies like $googl $goog $appl and the sort. Funds or anyone dropping over a $1m on puts is 99% a hedge against a larger long share position. Hedge funds are hedge funds for a reason. Hedge against a long or a short,0,1,75.0
37,TanyaShannon15,2023-03-01 20:01:00+00:00,0,Buffer,"🔥 SOLD @ 20 Binks Dr, Clarksville, TN 
3 beds, 1.5 baths | 1650 sq ft | All brick home with 
dark hardwood floors in living room, dining, hall &amp; all 
bedrooms. SS appl, new bathroom vanities, 2 car attached 
carport &amp; fenced back yard. Call to 👀 for yours today! https://t.co/1kH8i08Cnr",0,0,16.0
38,JackHubPremium,2023-03-01 19:46:38+00:00,2,Twitter for iPhone,"@appl_juice70 This is the way brother, just pop a vyvanse and drink a large black coffee as Mother Nature intended",0,1,62.0
39,esteves_gp,2023-03-01 19:42:23+00:00,1,Twitter Web App,"@Bicycle_Bryan @ACSMNews @Appl_Phys_Nutr Congrats Bryan et al.
As always, happy to be a part in a couple of these amazing projects. 🙏",0,0,69.0
40,Bicycle_Bryan,2023-03-01 19:37:39+00:00,15,Twitter Web App,"Time to get excited about #ACSM23 now that @ACSMNews have sent out the abstract acceptance letters. 
@Appl_Phys_Nutr will be well represented!",0,3,1753.0
41,Appl_mechanics,2023-03-01 19:26:14+00:00,6,Twitter Web App,"Mañana jueves 2 de marzo a las 5pm #Juan_Diego_Jaramillo de @RiskandDesign presenta #IngenieríaEstructuralvsSismos ¿Hasta hoy cuál es el resultado de esa pelea?
¿Qué son los sismos?
¿Qué tan fuertes son?
¿Cómo enfrentarlos?
¡Acompáñanos en 19-501 o Teams https://t.co/pC87L0pT58! https://t.co/Q3ChAx5hUk",5,0,3121.0
42,morris56vay,2023-03-01 19:25:01+00:00,0,Twitter Web App,"10000mAh For MagSafe Charging Station, 5 in 1 Foldable Magnetic Wireless Charging Station for iPhone 13 12 Pro Max Mini, Appl JHN5W5F

https://t.co/iwOIHtRLDS",0,0,22.0
43,coin_analiz01,2023-03-01 19:24:02+00:00,2,Twitter Web App,"Warren Buffett’ın portföyünün %75’ini oluşturan 5 büyük pozisyonu:

#APPL Apple
#CVX Chevron
#KO Coca Cola
#AXP American Express
#BAC Bank of America#DonateToTurkey #hatayantakya #bıst100 #alfas #Pltur  #Brkvy  #Tera  #Ahgaz #Eygyo #XU100 #sasa #hekts",0,0,1235.0
44,Vinesh00518,2023-03-01 19:20:22+00:00,0,Twitter Web App,"Options and Stock Discord! JOIN NOW!

https://t.co/DmyHFfdkP4

$APPL $ZM $FB $SPY $AMD $QCOM $MSFT $TWTR $SPAQ $NIO $NKLA $ATT $BA $DJI $INTC $ATVI $PFE $MRNA $GILD $PYPL https://t.co/fbfBKI3uc2",0,0,346.0
45,juliestonks,2023-03-01 19:12:24+00:00,0,Twitter for iPhone,You'd think by now they'd know how to make a more durable phone that doesn't shatter from one drop. $APPL @Apple,0,1,136.0
46,CryptoTreeMap,2023-03-01 19:00:02+00:00,0,cryptotreemap,"https://t.co/t6kVcSK6IH

Stock market:
$TCEHY +5.41% 📈
$BHP +4.1% 📈
$601318.SS +3.71% 📈
$PRX.AS +3.22% 📈

$RY -3.65% 📉
$HD -2.15% 📉

#TCEHY #BHP #601318.SS #PRX.AS #RY #HD #TSLA #APPL #stocks #trading #investing https://t.co/NaeThu4jGj",0,0,87.0
47,AltonicKeys,2023-03-01 18:53:41+00:00,0,Twitter Web App,"@Laertive its name is apl
it is an appl https://t.co/Lr5NiP8M7y",0,0,9.0
48,optionsmafia1,2023-03-01 18:49:22+00:00,1,Twitter for iPhone,@joelev9 @Hannibal_1906 Yes sir there’s a ton of appl dec Jan and middle Feb,0,1,196.0
49,appl_juice70,2023-03-01 18:47:50+00:00,0,Twitter for iPhone,@garylovestein Yup abusing coke makes u a lesser being.,0,0,42.0
50,garylovestein,2023-03-01 18:46:53+00:00,0,Twitter for iPhone,@appl_juice70 And u felt the need to tweet this,0,1,64.0
51,appl_juice70,2023-03-01 18:45:28+00:00,2,Twitter for iPhone,22 years old still never did coke… and I never will.,0,2,128.0
52,mykal_adiom,2023-03-01 18:44:15+00:00,0,Twitter for iPhone,Seriously WeBull making me more money than I thought possible.  Join for free and get fractional and whole shares for free. I got $GOOG and $APPL $DNA https://t.co/ix47ekAyce,0,0,172.0
53,MortgagePros23,2023-03-01 18:34:23+00:00,0,BNTouch,"MBA: Rates Continue to Crimp Affordability. The volume of mortgage application activity for both refinancing and purchasing fell again last week. The Mortgage Bankers Association (MBA) said its Market Composite Index, a measure of appl... https://t.co/tSI1pXzbpP",0,0,13.0
