Date,ID,username,tweet
2023-02-01 22:10:23+00:00,1620907440018538498,OneLikeApp,"The social media giant reported losing $4.3 billion in the division in the fourth quarter of 2022 on revenues of $727 million
By #Coindesk
https://t.co/EGoz91M48j"
2023-02-01 22:00:03+00:00,1620904839705231361,BTCticker,One Bitcoin now worth $23689.465. Market Cap $456.708 Billion. Based on #coindesk BPI #bitcoin
2023-02-01 20:10:40+00:00,1620877312341442560,x3tko,"Coinbase NFT Pauses New Collection Drops, Denies Shuttering Marketplace #coindesk #bitcoin #crypto https://t.co/AJsLpQdz2M"
2023-02-01 20:00:03+00:00,1620874641358168064,BTCticker,One Bitcoin now worth $23333.475. Market Cap $449.843 Billion. Based on #coindesk BPI #bitcoin
2023-02-01 18:00:02+00:00,1620844438078488576,BTCticker,One Bitcoin now worth $23001.999. Market Cap $443.451 Billion. Based on #coindesk BPI #bitcoin
2023-02-01 17:24:56+00:00,1620835604035670018,NerdNationUnbox,"#SBF has been banned from #Slack but he continues to tweet and blog. Like @CryptoWendyO  said today on  #CoinDesk, do you not think the court is tracking all this and letting him incriminate himself?? If so why are his parents allowing their son to do that??"
2023-02-01 16:00:03+00:00,1620814242034089987,BTCticker,One Bitcoin now worth $22977.170. Market Cap $442.971 Billion. Based on #coindesk BPI #bitcoin
2023-02-01 15:51:04+00:00,1620811983443345408,bocvip,"#Crypto Bank Silvergate Halts ...

https://t.co/Z0WqDzljAY

#Bitcoin #BitcoinNews #BitcoinNewsToday #BitcoinPrice #BitcoinPriceLive #BitcoinPriceNow #BitcoinPriceToday #BitcoinToday #Blockchain #BuyBitcoin #CDTV #Coindesk #CoindeskTv #Contagion #CryptoMarket https://t.co/PIk7HaKTvz"
2023-02-01 14:21:20+00:00,1620789401809739777,LolaCoinOrg,"First Mover Americas: Bankrupt With $1.4B Cash

 The most recent   price moves  in cryptocurrency markets in context for Feb. 1, 2023.

 This po... https://t.co/spBkfNnHhf #Bitcoin #Blockchain #Coindesk.com #Crypto #Cryptocurrency #Ethereum #Web3 #cryptonews https://t.co/vQ7TTHdYdw"
2023-02-01 14:00:02+00:00,1620784040981716992,BTCticker,One Bitcoin now worth $23072.849. Market Cap $444.814 Billion. Based on #coindesk BPI #bitcoin
2023-02-01 12:00:03+00:00,1620753844169842690,BTCticker,One Bitcoin now worth $23070.689. Market Cap $444.771 Billion. Based on #coindesk BPI #bitcoin
2023-02-01 10:00:03+00:00,1620723644270878725,BTCticker,One Bitcoin now worth $22998.429. Market Cap $443.376 Billion. Based on #coindesk BPI #bitcoin
2023-02-01 08:00:02+00:00,1620693444308893696,BTCticker,One Bitcoin now worth $23065.398. Market Cap $444.665 Billion. Based on #coindesk BPI #bitcoin
2023-02-01 06:00:03+00:00,1620663247027277824,BTCticker,One Bitcoin now worth $23109.769. Market Cap $445.519 Billion. Based on #coindesk BPI #bitcoin
2023-02-01 05:16:01+00:00,1620652168838520833,finallrounder,"enthusiasts

Spread Love &amp; Bitcoin
Pranav

#bitcoin #investing #crypto #learning #FinAllRounder #blockchain #mining #TICKET #cryptoinvesting #cryptocurrencies #CryptoLearning #Web3 #CoinDesk #DCG #GBTC"
2023-02-01 04:00:03+00:00,1620633048847994880,BTCticker,One Bitcoin now worth $23120.835. Market Cap $445.731 Billion. Based on #coindesk BPI #bitcoin
2023-02-01 02:00:02+00:00,1620602847229263872,BTCticker,One Bitcoin now worth $23126.341. Market Cap $445.836 Billion. Based on #coindesk BPI #bitcoin
2023-02-01 00:54:41+00:00,1620586399090233344,x3tko,ImmutableX to Launch All-In-One Passport System to Onboard New Gamers Into Web3 #coindesk #bitcoin #crypto https://t.co/tjcTelUS9A
2023-02-01 00:00:03+00:00,1620572650421510148,BTCticker,One Bitcoin now worth $23134.292. Market Cap $445.988 Billion. Based on #coindesk BPI #bitcoin
