,User,Date Created,Number of Likes,Source of Tweet,Tweet,ReTweet Count,Reply Count,View Count
0,Bree681437261,2023-03-01 23:24:29+00:00,1,Twitter for iPhone,@PrehPrehcious8 Yhoo 😅 me too,0,0,485.0
1,Kkarabo4,2023-03-01 23:21:31+00:00,0,Twitter for Android,@dobsy73 I did yhoo 🤣#BBTitans,0,0,543.0
2,MzuzwanaYamkela,2023-03-01 23:02:36+00:00,6,Twitter for Android,"Nana applying pressure 🤣🤣🤣

Yhoo this house #BBTitans",0,1,562.0
3,mratilwe2,2023-03-01 22:52:38+00:00,0,Twitter for Android,Yhoo😭,0,0,571.0
4,Pirinda_,2023-03-01 22:39:29+00:00,0,Twitter for iPhone,"If things are not gonna get better anytime soon, Ingase andithathe lo wandidala without my permission because what is this??? Yhoo ha.a sana",0,0,24.0
5,tseepati,2023-03-01 22:34:53+00:00,1,Twitter for iPhone,@KgetlepeR Ehhh yhoo muss nna ke day 2  😭😭,0,1,11.0
6,falcantar_yhoo,2023-03-01 22:31:14+00:00,2,Twitter for Android,"Hola @MGChalco, aunque se agradecen las obras espero tengas presente el desmadre que hay en el centro de Chalco. A las obras del trolebús, ahora se suman las de tizapa y reforma. Y ninguna planeación al momento de cerrar calles. Confío en que encuentren como liberar Guerrero.",0,0,144.0
7,LwaziBatala,2023-03-01 22:22:57+00:00,1,Twitter for Android,Yhoo ndiyidlalile ikaka namhlanje https://t.co/MAOBnTST7S,0,0,271.0
8,NRamaselela,2023-03-01 22:19:38+00:00,0,Twitter for Android,Yhoo I can't sleep Rami o gaketse 😂💃🏽💃🏽💃🏽😂#BBTitans,0,0,522.0
9,NRamaselela,2023-03-01 22:17:34+00:00,0,Twitter for Android,@ramichuene Yhoo guys 😂😂😂😂😂😂😂,0,0,22.0
10,7Xj8KnrlyQXdN31,2023-03-01 21:50:36+00:00,0,Twitter Web App,"パソコン通信では　ＰＣーＶＡＮ，ニフティ、ｐｅｏｐｌｅ、ＪＲのＨＰ、掲示板は２ちゃん、ビッグローブかな、ＹＨＯＯ掲示板、その他色々と
Facebook、ツイッター、Linckdin、mixi
何の役にも立たんかった。　フツーの市民に出来る事は
選挙で１票、選挙を諦めた市民が多い､投票率４０％とか",0,0,20.0
11,Khetile_,2023-03-01 21:38:41+00:00,0,Twitter for Android,Yhoo GREEN,0,0,48.0
12,neo_nkhwashu,2023-03-01 21:33:59+00:00,0,Twitter for Android,@Chris_JNdonga Yhoo,0,0,56.0
13,khathiiey_n,2023-03-01 21:26:07+00:00,0,Twitter for Android,Yhoo my heart is breaking sana because how could he do this nx😭😭😭,0,0,30.0
14,nachi_cherry,2023-03-01 21:22:40+00:00,0,twittbot.net,"YHOO　知恵袋 
kisamaloveさん 
「意中の女性にサプライズプレゼントを贈ろうと思い、体重を聞いたら機嫌を損ねてしまった。なにせ相手はお洒落な女性故、身長体重他、各種数値を把握した上で衣類を贈ろうと思ったのだが……」",0,0,
15,Bhele__,2023-03-01 21:09:22+00:00,0,Twitter for iPhone,@Maka_Olona @NandoWaLesele 😂😂😂 +700km ndigodle bag Yhoo,0,0,11.0
16,__zino,2023-03-01 21:05:59+00:00,0,Twitter for iPhone,@ndeshyyyy Yhoo we’ve come a long way,0,1,426.0
17,Stomza14,2023-03-01 21:05:32+00:00,0,Twitter for Android,Richalison yinkomo yhoo aa andiyazi babe bona ntoni kulomntu rhaa,0,0,53.0
18,Blackpine18,2023-03-01 21:05:30+00:00,1,Twitter for Android,@SowetanLIVE Yhoo thiza hayi that judge isenzile yhooo 😭😭😭😭,0,0,356.0
19,SheggzPa,2023-03-01 21:04:57+00:00,19,Twitter for iPhone,"At this point it’s only Tsatsii that can kill me 😭😭, yhoo her mouth #BBTitans",2,0,1836.0
20,Tshola_Makola,2023-03-01 21:03:53+00:00,0,Twitter for Android,Did man take off Lindelöf instead of Maguire? Lmao yhoo.,0,0,49.0
21,tilextee,2023-03-01 21:03:38+00:00,1,Twitter Web App,@KLoverisback @wukster2 Hectic yhoo people are crazy the hate on this girl is getting too much...see the lies man I’m shooked 😥,0,0,23.0
