,User,Date Created,Number of Likes,Source of Tweet,Tweet,ReTweet Count,Reply Count,View Count
0,DropTownSaloon,2023-03-01 23:58:40+00:00,6,droptown,"Ethereum Activates Key Advancement in New 'Account Abstraction' Feature - 

https://t.co/o5TP4j52h1

#Crypto #CryptoNews #CryptoTrends #NFT #NFTNews #NFTRelease #NFTDrop #AltCoin #AirDrop #NFTProject #NFTArtist  #NFTCommunity  #CNFT #CNFTCommunnity https://t.co/Wo13A4dYEc",1,1,29.0
1,chuichaklam,2023-03-01 23:57:22+00:00,0,Twitter Web App,"Bitcoin Dominanz / Altcoin Accumulation
I think this will be the next Bitcoin cycle till Q3 2024!
Then accumulation cycle for Altcoins from Q3 2024 till Q2 2026!
It will be a nice ride!
Stack your sats and chill :) , https://t.co/QqmGAJpGKV",0,0,40.0
2,FactorChengo,2023-03-01 23:56:21+00:00,0,IFTTT,AI Altcoin Based on Cardano (ADA) Rallies After Elon Musk ChatGPT Rumors Swirl https://t.co/5ICwWw95nN,0,0,12.0
3,ChristianDior31,2023-03-01 23:55:53+00:00,1,Twitter for Android,"@CryptoThro My favourite #altcoin gem for #500x is definitely $NUM.

The utility of this token is top notch and so is the use case!!",0,1,46.0
4,illuminatigem,2023-03-01 23:53:19+00:00,0,TwinyBots,Zelle is total horseshit #Altcoin #bitcoin  https://t.co/5PpCAz1xWI,0,0,19.0
5,Cryptolics4Life,2023-03-01 23:53:01+00:00,20,Twitter for Android,"With my biggest #Crypto holding in #CPTLC, I can relax, and handle whatever the market might throw my way 💥

@Cryptolic4Defi

🥳 ALL taxes to Rewards
➡️ Weekly LP injections
🏛12% Fixed Staking APY
💰Unique Hotshot Rewards

✅️ https://t.co/QtP36V4OGW

#1000x #BSC #altcoin #BNB https://t.co/GdOMDMn4nI",8,4,455.0
6,JENGNALA,2023-03-01 23:50:47+00:00,0,Twitter for Android,@tttiwai @Altcoin_Flow @kapoor_anuj12 Jadi ini beneran kak?,0,1,90.0
7,JENGNALA,2023-03-01 23:50:29+00:00,0,Twitter for Android,@Altcoin_Flow @cryptoguru_me https://t.co/AXowGvfQLA,0,0,62.0
8,BNB_Tracker,2023-03-01 23:48:35+00:00,0,Twitter Web App,"#BinanceCoin price update: $BNB

#BNB $302.81 USD

#Bitcoin 0.0128 BTC

#Ethereum 0.18189 ETH

#altcoin #crypto #cryptocurrency

Follow for recent BNB price updates",0,1,15.0
9,0xEthereumYoda,2023-03-01 23:48:35+00:00,1,Twitter Web App,"#Ethereum price update: 

#ETH $1664.76 USD
#Bitcoin 0.07037484977136502 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto",0,1,16.0
10,DropTownSaloon,2023-03-01 23:41:37+00:00,3,droptown,"Binance Tests AI-Infused NFT Platform Bicasso in Limited 10K Mint Run – Bitcoin News - 

https://t.co/E5cz9DhUH5

#Crypto #CryptoNews #CryptoTrends #NFT #NFTNews #NFTRelease #NFTDrop #AltCoin #AirDrop #NFTProject #NFTArtist  #NFTCommunity  #CNFT #CNFTCommunnity https://t.co/4z7ysOGTM7",0,0,33.0
11,Xun_Chen,2023-03-01 23:41:20+00:00,0,Twitter for iPhone,@RobinHill85 @Altcoin_Edge Nice man 😎💪,0,0,3.0
12,roccodallas,2023-03-01 23:37:10+00:00,0,dlvr.it,AVAX dropped to key demand zone – Can bulls prevail? https://t.co/gtYNvjJ1H9 #Altcoin #Analysis #HideCryptopanic #News https://t.co/4Ps8qkxbWA,0,0,17.0
13,BNB_Tracker,2023-03-01 23:36:29+00:00,0,Twitter Web App,"#BinanceCoin price update: $BNB

#BNB $302.41 USD

#Bitcoin 0.0128 BTC

#Ethereum 0.18207 ETH

#altcoin #crypto #cryptocurrency

Follow for recent BNB price updates",0,0,11.0
14,oneshot3th,2023-03-01 23:36:24+00:00,0,Twitter Web App,#Bitcoin #cryptocurrencies #altcoins Anon do you see your favorite altcoin in the top 10 altcoins on the next bull run? https://t.co/hOSqiM1Ysu,0,0,50.0
15,JackRedgravee,2023-03-01 23:33:43+00:00,1,Twitter for iPhone,@TheGemHunters I’m glad to see the red altcoin in this top #AVAX,0,1,8.0
16,Altcoin_Track,2023-03-01 23:33:34+00:00,3,Altcoin Track,"Shiba Inu Army Gets Excited On Wallet Provider News

Not one but two high-profile wallet providers have caused a stir within the SHIB army ahead of the beta launch of Shibarium, the...

https://t.co/d9o4Fwj6tN",1,0,168.0
17,DeFiHedgehog,2023-03-01 23:33:04+00:00,0,dlvr.it,Get Ready for an Altcoin Boom: Coin Bureau's Top 3 Altcoins For March 2023 - Coinpedia https://t.co/Lgx8mNFobo #altcoins #defi,0,0,4.0
18,janimjayizo,2023-03-01 23:31:19+00:00,0,Twitter Web App,@AltcoinGemsCom $SNFTS is the #altcoin with the potential to do 100x,0,0,3.0
19,PartyGuy6969,2023-03-01 23:31:02+00:00,4,EverRiseTwitterBot1,"#EverRise $RISE #EverRiseV3 #EverRiseEDU #MultiChain #EverMigrate #1000xgem #Altcoin 
 https://t.co/bWSehfjYa1",2,0,17.0
