,User,Date Created,Number of Likes,Source of Tweet,Tweet,ReTweet Count,Reply Count,View Count
0,SammyYepes,2023-03-01 23:59:59+00:00,0,Twitter for iPhone,Which #bitcoin books should I think about reading next? https://t.co/32gas26rKB,0,1,124.0
1,DarkSouIs2,2023-03-01 23:59:55+00:00,16,Twitter for iPhone,I actually have lost my metamask trust wallet hacked would pay for essay account hacked twitter how do i buy crypto bitcoin help i was banned google hacked support youtube help microsoft support hacked need this essay done by tomorrow and i also need a new banner graphic designer,0,26,1807.0
2,PresidentHODL,2023-03-01 23:59:52+00:00,1,Twitter for iPhone,@hesfinal @barrycram @BitcoinMagazine @elonmusk @jack My favorite quote from Gary when he was talking about staking was your keys your crypto… Bitcoin doesn’t have on chain staking - wonder what he was talking about.,0,0,48.0
3,Alejandro_btc,2023-03-01 23:59:51+00:00,1,Twitter for iPhone,"Congratulations!!! 

I remember when Simply Bitcoin had less than 1k followers. 

100k followers coming up…

…1M next!!!",0,0,68.0
4,OrangeTruth88,2023-03-01 23:59:47+00:00,19,Twitter for iPhone,"@ThankGodForBTC I appreciate the message, but not a fan of the religious references. Religion has nothing to do with #Bitcoin.",1,3,1013.0
5,WorldCoinIndex,2023-03-01 23:59:46+00:00,0,WCI Trending,Bitcoin price index https://t.co/o7UcHJUhC6 #USD #EUR #CNY #GBP #RUB https://t.co/ALWQDsZ1Ct,0,0,73.0
6,viction_io,2023-03-01 23:59:36+00:00,1,Twitter for Android,"CoinDashboard v3.0 is here
Available on ios and Android
#Bitcoin https://t.co/tMCQllv9rj",1,0,24.0
7,jisungmaincraft,2023-03-01 23:59:35+00:00,0,Twitter for Android,"nombre: belen
ciudad o país: barcelona
animal: buitre
color: blue 😅😅
cosa: bitcoin",0,0,31.0
8,Sidibou1609,2023-03-01 23:59:32+00:00,4,Twitter Web App,"#Bitcoin Short Term Fractal (4H)💥

In lower timeframe, #BTC price action seems to be repeating itself while LMACD is reproducing the same sequence. 🫡 https://t.co/2MG9yL7SDa",0,0,77.0
9,StockampStocka1,2023-03-01 23:59:29+00:00,0,Twitter for iPhone,@TO That’s why I’ve always been a purist..but I’m glad to have fun with Bitcoin..Bitcoin forever..,0,0,80.0
