,User,Date Created,Number of Likes,Source of Tweet,Tweet,ReTweet Count,Reply Count,View Count
0,_Kev_W_,2023-03-01 23:57:06+00:00,1,Twitter for iPhone,@AlgoFoundation @CoinDesk @ethereum @cryptauxmargaux 🚀🚀🚀,0,0,283.0
1,crytpoalan,2023-03-01 23:56:33+00:00,0,Twitter for iPhone,@CoinDesk @ethereum @cryptauxmargaux Impressive.,0,0,389.0
2,AlgoFoundation,2023-03-01 23:56:13+00:00,24,Twitter Web App,@CoinDesk @ethereum @cryptauxmargaux 👀,1,2,3134.0
3,FactorChengo,2023-03-01 23:56:08+00:00,0,IFTTT,Ex-Biden Adviser Said Administration Was Pushing for Digital Dollar - CoinDesk https://t.co/f5SVLmdZcg,0,0,4.0
4,bobaib1,2023-03-01 23:55:55+00:00,0,Twitter for Android,@CoinDesk @Aoyon_A Expect more of this $#!+,0,0,210.0
5,CookeWJ1,2023-03-01 23:53:11+00:00,1,Twitter Web App,"@ParrotCapital @MotherCabriniNY @CoinDesk BUT, I thought CZ was one of the ""Good Guys""? If one can't trust an old head like CZ to be above reproach, and act just with the best interest of the crypto community...WHO CAN ANYONE TRUST HERE?",0,0,6.0
6,vanuatutech,2023-03-01 23:51:34+00:00,0,dlvr.it,"Filing: crypto-friendly bank Silvergate delays its annual report and cites investigations from regulators, Congress, and the US DOJ; its stock plunges 30%+ (CoinDesk) https://t.co/5pee1aupXU #TechNews #TechTips https://t.co/1rnGMm0QZ5",0,0,41.0
7,3itcoiner,2023-03-01 23:47:34+00:00,1,Twitter Web App,@CoinDesk @camgthompson https://t.co/o8byl7ns9R,1,0,182.0
8,MatRabbit,2023-03-01 23:47:25+00:00,3,Twitter for Android,@wallplugnft @amandacassatt @missmayad @CoinDesk @KamalaAlcantara @MicheleMusso_ Some legends in there,0,1,33.0
9,manort,2023-03-01 23:47:22+00:00,0,Jetpack.com,Short Bitcoin Fund Inflows $10 Million: CoinShares | coindesk JAPAN | Coindesk Japan https://t.co/gTmL8kPHGL,0,1,5.0
10,Bitcoin_Win,2023-03-01 23:47:18+00:00,0,Jetpack.com,Short Bitcoin Fund Inflows $10 Million: CoinShares | coindesk JAPAN | Coindesk Japan https://t.co/U6b4k1jEZE,0,1,18.0
11,HoldingsObxo,2023-03-01 23:46:38+00:00,0,Twitter for iPhone,Visa's Crypto Strategy Remains Intact Despite Crypto Winter https://t.co/iOHdFBFV5E via @coindesk,0,0,4.0
12,Techmeme,2023-03-01 23:46:03+00:00,4,Techmeme Editors,"Filing: crypto-friendly bank Silvergate delays its annual report and cites investigations from regulators, Congress, and the US DOJ; its stock plunges 30%+ (CoinDesk)

https://t.co/9VhO3Inntj
https://t.co/ZYVgnUtp2T",0,0,4550.0
13,wallplugnft,2023-03-01 23:41:11+00:00,13,Twitter for Android,"Grateful to learn from experts  @amandacassatt @missmayad
on how Web 2 can best enter and succeed in Web3 w/ authenticity as well as guidance for NFT creators
Thanks @CoinDesk for hosting 🙏 https://t.co/MY5HxFUCPy",1,2,1611.0
14,Meemah_Oumar,2023-03-01 23:40:55+00:00,0,Twitter for iPhone,@JakeGagain @VoltInuOfficial @CoinDesk @CoinMarketCap Wow this project is promising 💯🍀🔥🎉💐🥳,0,0,40.0
15,socialsupermgr,2023-03-01 23:40:08+00:00,8,Crowdfire App,#entertainment #NFT Firm #OrangeComet Raises $7M in Equity Round https://t.co/u6yMLOUW5X via @coindesk  #NFT #NFTs #NFTartwork #nftartist #NFTartists  #nftart #NFTCommunity #nftcollector #NFTcollections #NFTGiveaways #NFTGiveaway #nftparis #nftnews #NFTdrop #NFTMint #NFTProjects,1,0,47.0
16,omw_to_the_moon,2023-03-01 23:38:24+00:00,9,Twitter for iPhone,SCOOP: CoinDesk is dumb and has no idea of what journalism is,0,1,1017.0
17,BrrrJohny,2023-03-01 23:37:25+00:00,0,Twitter Web App,COINDESK: Crypto Bank Charter Firm Protego Trust Lays Off Most of Its Workforce: Source,0,0,26.0
18,Patrick_TanKT,2023-03-01 23:34:54+00:00,4,Twitter Web App,"Brilliant piece by @CoinDesk's @davidzmorris.

https://t.co/lse8jD94rM",0,1,151.0
19,NefariousLegion,2023-03-01 23:34:16+00:00,0,Twitter for Android,"@CoinDesk Struggling for content?

Your own chart shows it couldn't be any closer to a 50/50 chance of up or down in March. 'Historical price patterns' 😁",0,0,76.0
20,froogi,2023-03-01 23:33:02+00:00,1,Twitter Web App,@CoinDesk @amandacassatt @missmayad Amazing insights!,0,0,11.0
21,tharaka347,2023-03-01 23:28:59+00:00,0,Twitter Web App,@CoinDesk @Algorand I hope a great future,0,0,17.0
22,Likquiddutch,2023-03-01 23:28:51+00:00,1,Twitter for iPhone,@CoinDesk @VoltInuOfficial @shauryamalwa ❤️❤️❤️❤️❤️❤️⚡️🔥🔥🔥🔥🔥,1,0,10.0
23,hikaru3,2023-03-01 23:28:51+00:00,0,Twitter for iPhone,優れた「Web3カスタマージャーニー」に必要なものは？【コラム】 | coindesk JAPAN | コインデスク・ジャパン https://t.co/Pq9tpUUW75,0,0,45.0
24,BrrrJohny,2023-03-01 23:28:15+00:00,0,Twitter Web App,"CoinDesk: SCOOP: Crypto bank charter hopeful @ProtegoTrust has run out of capital and been forced to lay off most of its staff, according to a source familiar with the matter.

@ianallison123 @nikhileshde report",0,0,35.0
25,BBobP4,2023-03-01 23:28:07+00:00,9,Twitter for Android,@JakeGagain #VOLT #VOLTINU #VDSC @VoltInuOfficial @cryptojourneyrs @JakeGagain @CoinDesk  @0xPolygon  @VDSC_Official https://t.co/RFMHQKIolM,4,0,195.0
26,lolchocotaco,2023-03-01 23:27:58+00:00,0,Twitter Web App,"For a game with a high barrier of entry, were there people actually playing the game?
There were only 26.5k versions of the sewer passes, but even fewer holders (~13k). Coindesk reported that gamers racked up 7.5m runs with &gt;80yrs of play time. Players were going deep to win.
10/",0,1,30.0
27,molekilla,2023-03-01 23:27:41+00:00,2,Twitter Web App,"Ethereum Says ERC-4337 Deployed, Tested, Beginning Era of Smart Accounts   https://t.co/O2EeH6zlkJ via @coindesk

❤️",1,0,52.0
28,thepotentium,2023-03-01 23:27:40+00:00,0,Twitter for iPhone,Digital Asset Investment Products’ AUM in February Reaches Highest Level Since May 2022 https://t.co/jsdRwQZ0pk via @coindesk,0,0,4.0
29,EmiliaMJimenez,2023-03-01 23:26:01+00:00,0,Twitter Web App,@CoinDesk @ethereum @cryptauxmargaux Clickbait Coindesk,0,0,65.0
30,pompcoin,2023-03-01 23:25:34+00:00,0,dlvr.it,"Market Wrap: Bitcoin Declines, Resisting Seasonal Norm; Altcoins Mixed - CoinDesk https://t.co/zQ6Tmx4yhW",0,0,11.0
31,thelostwritter,2023-03-01 23:23:51+00:00,0,Twitter for iPhone,@MYC_ODD_APP @CoinDesk I don’t think so but let’s see what surprises we got this month•,0,0,24.0
32,BrrrJohny,2023-03-01 23:23:12+00:00,0,Twitter Web App,"Blogs
COINDESK: Australia’s Central Bank Taps Mastercard and Others to Test CBDC Use Cases",0,0,3.0
33,overpricedjpegs,2023-03-01 23:22:25+00:00,10,Twitter Web App,"From today's pod, @carlypreilly talks her own personal a-ha moment regarding NFT ticketing and token-gated content. 

Get today's episode, a crossover with the amazing people at @CoinDesk's Gen-C pod, on all your favorite podcasting platforms.

https://t.co/WepQgNeeSW https://t.co/4ZC9EpLXer",0,0,886.0
34,yeehahboogie,2023-03-01 23:21:03+00:00,0,Twitter for Android,@0x_____________ @CoinDesk @pythianism @ethereum @cryptauxmargaux pretty cool they can just deploy a new contract instead of forking the chain,0,0,154.0
35,Likquiddutch,2023-03-01 23:20:03+00:00,0,Twitter for iPhone,@JakeGagain @VoltInuOfficial @CoinDesk @CoinMarketCap Voltage ⚡️⚡️⚡️⚡️🔥🔥⚡️⚡️⚡️,0,0,10.0
36,talgya,2023-03-01 23:17:16+00:00,0,Twitter Web App,@consensus2023 @CoinDesk @missmayad @amandacassatt @mikearief,0,0,28.0
